"Food","Portion_g","Usual_Score","Cost_USD_per_100g"
"Wheat bread av brown and wholemeal ",70,9,0.40
"Wheat bread av brown and wholemeal w seeds",70,8,0.45
"Low fat margarine product Vita d'Or Goed begin",15,5,0.50
"Artichoke hearts canned",50,4,1.00
"Lettuce romaine raw",50,6,0.50
"Potato product natural precooked chilled",150,8,0.30
"Oil rice bran",15,3,0.80
"Frying oil",15,8,0.30
"Olives av in brine tinned/glass",30,7,0.80
"Low fat margarine 40% fat <17g sat fa fortified w vit E salted",15,6,0.60
"Melon cantaloupe",150,6,0.50
"Cooking fat liq Vita d'Or vlees&jus",15,5,0.40
"Sauce chilli",15,8,0.50
"Sauce garlic 30-<40% oil",20,8,0.50
"Roastbeef",30,7,2.00
"Breakfast cereal Special flakes w chocolate",40,6,1.00
"Sauce bolognese ready-to-eat jar",100,8,0.50
"Chocolate sprinkles extra dark",15,7,0.80
"Marmalade",15,5,0.60
"Soup instant powder",15,7,1.00
"Cocktail snacks based on corn Organix Goodies",15,3,2.00
"Chocolate flakes white",15,6,1.00
"Cheesespread Heks'n kaas",30,7,1.50
"Syrup ginger",15,3,1.20
"Solid foamed candy Dutch Schuimpje",20,5,1.00
"Coconut water plain",200,4,0.40
"Syrup apple-pear",15,6,0.50
"Cheese Feta",30,7,1.50
"Rice ball spiced frozen unprepared",100,6,1.00
"Yoghurt drink fortified w calcium",200,5,0.35
"Fruit drink w dairy w sugar and sweetener",200,6,0.25
"Croquette oven meat frozen unprepared",70,7,1.20
"Cheese cream w herbs 25-30 g fat",30,7,1.20
"Sorbet",100,6,0.80
"Cheese white 45+ feta-like from cow's milk",30,6,1.20
"Croquette Dutch Bitterbal oven frozen unprepared",50,7,1.20
"Low fat margarine product Vita d'Or Bewust light",15,4,0.40
"Snack roll puff pastry w Dutch sausage Frikandel",100,7,1.00
"Focaccia",70,6,0.80
"Salty puff pastry cocktail snacks",30,6,1.50
"Oil sesame",15,6,1.20
"Cheese Ricotta",50,6,1.20
"Peanuts milkchocolate coated",30,7,1.20
"Toddler formula Kruidvat 4 p 100 ml",100,1,0.40
"Toddler formula Kruidvat 5 p 100 ml",100,1,0.40
"Breakfast cereal Tresor Kellogg's",40,6,1.00
"Breakfast cereal Honey pops Kellogg's",40,5,0.90
"Goji berries dried",15,4,2.50
"Hemp seed",10,3,2.50
"Chia seeds dried",10,4,2.00
"Mulberries raw",30,2,2.00
"Oil rapeseed",15,5,0.40
"Mint fresh",5,7,2.00
"Oil palm",15,3,0.30
"Coffee latte macchiato freshly made",200,7,0.80
"Wheat bread wholemeal Tijger",70,8,0.40
"Oil vegetable av",15,8,0.30
"Liquorice Dutch type sweet w foam",30,7,0.80
"Wheat corn bread white w seeds",70,6,0.45
"Wheat bread white av milk/water based w seeds",70,7,0.40
"Potato product seasoned precooked chilled",150,8,0.35
"Almonds w skin unsalted",30,7,1.80
"Brazil nuts salted",30,4,2.50
"Biscuit milkbiscuit AH/Jumbo",20,6,0.80
"Tea vending machine w sugar",150,7,0.30
"Coffee from vending machine w sugar",150,8,0.50
"Soup tomato w noodles",250,7,0.30
"Biscuit Liga Belvita ontbijtbiscuits",40,6,1.00
"Frogs/mice fondant w chocolate",20,5,1.20
"Juice fruit Healthy People Cranberry",200,5,0.35
"Beer w fruit juice Radler alcohol free",330,7,0.40
"Rice white raw w candied fruit, nuts and seeds",75,4,0.80
"Salad cheese",50,5,1.00
"Peach w skin",150,7,0.45
"Fruit juice drink juice and water",200,6,0.25
"Cake Dutch spiced ontbijtkoek w chocolate",40,6,0.80
"Porridge Nestle Pyjamapapje ready-to-eat",200,1,0.80
"Minced meat vegetarian based on soya unprepared fortified w iron and vitamin B12 De Vegetarische Slager",100,7,1.80
"Sugar powdered",10,7,0.40
"Chocolate filled w caramel Rolo",30,7,1.50
"Pork rolled (processed meat product)",30,5,1.50
"Cracker mini unflavoured",20,6,1.00
"Cracker mini flavoured",20,6,1.00
"Potatoes slices/parts frozen w spices unprepared",150,7,0.30
"Tapenade tomato",15,6,1.50
"Rice drink wo sugar",200,4,0.30
"Aioli",20,7,1.00
"Crispbread Oerknack Bolletje",20,6,1.00
"Crispbakes Dutch farmers type",20,7,0.80
"Walnuts salted",30,6,2.00
"Nuts macadamia salted",30,5,3.00
"Pistachio nuts unsalted",30,6,2.00
"Almonds w skin salted",30,6,1.80
"Drink almond w sugar fortified w calcium and vitamins",200,6,0.40
"Drink almond unsweetened fortified w calcium and vitamins",200,6,0.40
"Kiwi fruit av",100,8,0.60
"Guacamole",30,7,1.20
"Icing (sugar)",20,5,0.50
"Breakfast cereal cornflakes Plus/1 de Beste",40,5,0.60
"Butter product melange salted",15,6,0.80
"Breakfast cereal Honey hoops Crownfield",40,4,0.60
"Breakfast cereal Chocoschelpjes G'woon",40,4,0.60
"Fruit drink concentrate w sweetener Karvan Cevitam",20,7,0.60
"Rice cakes puffed w fruit flavour Organix",15,3,1.50
"Tzatziki",30,7,0.80
"Cake madeleine cake bars Lotus",30,6,1.20
"Biscuit spiced small Kruidnoten",30,8,0.60
"Chocolate extra dark",30,7,1.20
"Bakery mix for pancakes multigrain",50,6,0.50
"Ice cream dairy w caramel and nuts",100,7,1.20
"Sauce oyster",15,7,0.80
"Anise seed",2,4,2.00
"Pecannuts oil roasted salted",30,6,2.50
"Rice white boiled w candied fruit, nuts and seeds",200,4,0.40
"Minced meat ball pork raw w egg and breadcrumbs",100,8,1.20
"Breakfast cereal honey loops 1 de Beste",40,4,0.60
"Sausage dried metworst",30,8,1.50
"Beans black eyed canned",150,4,0.40
"Beans brown boiled",200,7,0.30
"Lentils brown canned",150,6,0.35
"Beans cannellini canned",150,5,0.40
"Beans chilli canned",150,7,0.45
"Peas marrowfat young canned",150,6,0.40
"Beans kidney red boiled",200,6,0.30
"Lentils red boiled",200,6,0.35
"Beans white boiled",200,6,0.30
"Beans black canned",150,6,0.40
"Soup split pea w meat",300,8,0.40
"Meatball Berenklauw deep-fried in liquid fat",120,6,1.00
"Chicken sticks breaded deep-fried in liquid fat",100,6,1.00
"Fat chicken",15,2,0.60
"Oil palmkernel",15,2,0.50
"Toddler formula Nutrilon 6 p 100 ml",100,1,0.50
"Infant formula Hero Baby Nutrasense Standaard 1 p 100 ml",100,1,0.60
"Toddler formula Hero Baby Nutrasense Standaard 2 p 100 ml",100,1,0.60
"Toddler formula Hero Baby Nutrasense 3 p 100 ml",100,1,0.60
"Toddler formula Hero Baby Nutrasense 4 p 100 ml",100,1,0.60
"Infant formula Hipp Biologisch Combiotik 1 p 100 ml",100,1,0.70
"Toddler formula Hipp Biologisch Combiotik 2 p 100 ml",100,1,0.70
"Toddler formula Hipp Biologisch Combiotik 3 p 100 ml",100,1,0.70
"Infant formula Jumbo Standaard 1 p 100 ml",100,1,0.40
"Toddler formula Jumbo Standaard 2 p 100 ml",100,1,0.40
"Toddler formula Jumbo Standaard 3 p 100 ml",100,1,0.40
"Toddler formula Jumbo Standaard 4 p 100 ml",100,1,0.40
"Toddler formula Jumbo Standaard 5 p 100 ml",100,1,0.40
"Infant formula Albert Heijn Standaard 1 p 100 ml",100,1,0.40
"Toddler formula Albert Heijn Standaard 2 p 100 ml",100,1,0.40
"Toddler formula Albert Heijn Standaard 3 p 100 ml",100,1,0.40
"Toddler formula Albert Heijn Standaard 4 p 100 ml",100,1,0.40
"Infant formula Albert Heijn Biologisch Standaard 1 p 100 ml",100,1,0.50
"Toddler formula Albert Heijn Biologisch Standaard 2 p 100 ml",100,1,0.50
"Toddler formula Albert Heijn Biologisch Standaard 3 p 100 ml",100,1,0.50
"Infant formula Bonbebe Standaard 1 p 100 ml",100,1,0.40
"Toddler formula Bonbebe Standaard 2 p 100 ml",100,1,0.40
"Toddler formula Bonbebe Standaard 3 p 100 ml",100,1,0.40
"Toddler formula Bonbebe Standaard 4 p 100 ml",100,1,0.40
"Infant formula Etos Standaard 1 p 100 ml",100,1,0.40
"Toddler formula Etos Standaard 2 p 100 ml",100,1,0.40
"Toddler formula Etos Standaard 3 p 100 ml",100,1,0.40
"Toddler formula Etos Standaard 4 p 100 ml",100,1,0.40
"Infant formula Etos Biologisch Standaard 1 p 100 ml",100,1,0.50
"Toddler formula Etos Biologisch Standaard 2 p 100 ml",100,1,0.50
"Toddler formula Etos Biologisch Standaard 3 p 100 ml",100,1,0.50
"Cheese Danish Blue",30,5,1.50
"Milk semi-skimmed fortified w calcium and vit D",200,6,0.20
"Apple pie Dutch w shortbread average",100,8,1.20
"Cake plain av",40,8,0.80
"Puff pastry av baked",30,7,1.00
"Cake apple av",100,7,1.00
"Apple turnover av",100,8,1.20
"Irish coffee",200,4,1.50
"Cake chocolate av",40,7,1.00
"Cheese fondue homemade",200,6,1.50
"Milk chocolate-flavoured semi-skimmed w sweetner",200,6,0.25
"Wine alcohol free",150,5,0.60
"Plant-based alternative to yoghurt based on soya unsweetened fortified with calcium and vitamins",200,5,0.30
"Cheesecake",120,7,1.50
"Popcorn salted popped w oil",30,6,0.60
"Popcorn sweet popped w oil",30,6,0.60
"Vinegar Balsamic",15,7,1.00
"Carrot cake",100,6,1.20
"Banana bread",50,6,1.00
"Bread crumbs w herbs",15,6,0.40
"Sweet pepper stuffed w cream cheese",150,5,1.00
"Chocolate sprinkles mix white and milk",15,8,0.80
"Chocolate flakes mix white and milk",15,7,1.00
"Skyr skimmed w fruit",150,7,0.50
"Bakery mix for cake plain",50,7,0.40
"Bami vegetables raw",100,7,0.60
"Crispbread light plain",20,7,0.80
"Tuna w vegetables and tomato sauce canned",150,6,1.00
"Seafood cooked",100,6,2.50
"Vegetables for stir-frying mushroom raw",150,7,0.60
"Vegetables for stir-frying Dutch raw",150,8,0.50
"Vegetables for stir-frying Italian raw",150,8,0.60
"Vegetables for stir-frying Oriental raw",150,8,0.60
"Yogurt Greek skimmed",150,7,0.40
"Cake Dutch spiced Ontbijtkoek wo sugar",40,6,0.60
"Fruitbar w nuts",30,6,1.50
"Peanut butter 100% peanuts wo salt",15,8,0.80
"Fat animal av",15,4,0.60
"Fruit forest av",100,6,1.20
"Veal av raw",125,4,2.50
"Salt bakers w added iodin",2,8,0.15
"Cocoa powder low fat",5,6,1.00
"Nut paste mixed nuts unsalted",15,5,1.50
"Ice cream yoghurt based w fruit",100,6,0.80
"Skyr skimmed plain",150,7,0.45
"Bakery mix for apple pie",50,7,0.40
"Bakery mix for cheesecake",50,5,0.50
"Chips vegetable pre-fried frozen unprepared",150,5,0.80
"Soup instant powder 1 cup soup",15,7,1.50
"Milk whole lactose free",200,4,0.25
"Sweetener intensive based on carbohydrates",2,6,1.00
"Baked chicory w cheese and ham",200,7,0.80
"Ratatouille prepared wo meat",200,6,0.60
"Legumes dish w vegetables in tomato sauce canned",200,6,0.50
"Stewing pears cooked w sweetened liquid",150,6,0.60
"Omelette/scrambled eggs",100,8,0.50
"Omelette w ham and cheese",120,8,0.80
"Omelette w potatoes Spanish tortilla",150,5,0.60
"Omelette w potatoes, vegetables and bacon Spanish tortilla",150,5,0.80
"Bobotie wo rice",200,5,0.80
"Mussels raw",200,5,0.80
"Sauce carbonara homemade",100,7,0.80
"Meat-onion stew",200,7,1.20
"Garlic cooked wo fat",5,8,1.00
"Sweet pepper stuffed w minced meat",200,6,1.00
"Yoghurt goatmilk full fat",150,3,0.60
"Ice cream chocolate",100,7,0.80
"Shashlik skewer pork w vegetables prepared",150,6,1.50
"Fish cuisine pollock w breadcrumbs and herbs prepared",125,6,1.20
"Ice cream dairy vanilla flavoured",100,8,0.80
"Ice cream dairy w vegetal fat vanilla flavoured",100,6,0.60
"Ice cream dairy w fruit",100,7,0.90
"Ice cream dairy/non-dairy cornet w fruit",100,6,1.00
"Bakery mix for pancakes wholemeal",50,6,0.50
"Roll white hard w cheese, ham, egg and vegetables",150,8,0.80
"Mousse chocolate ready-to-eat",100,7,0.80
"Toasted ham-cheese sandwich w white bread",120,8,0.80
"Hamburger (with roll) vegetables and sauce homemade",200,8,1.00
"Sausage Dutch Frikandel w sauce and onion",120,8,0.80
"Greek salad wo dressing",150,6,0.60
"Risotto prepared",250,6,0.50
"Sushi stuffed w salmon and cucumber",150,6,2.00
"Wrap w chicken",200,7,0.80
"Jerusalem artichoke raw",150,3,0.80
"Melon av",150,7,0.40
"Candybar av",50,8,1.50
"Chocolate filled w peanuts",40,8,1.50
"Candy mix",30,7,1.00
"Fruit drink conc w sugar and sweetener 30-35 g CHO",20,6,0.50
"French toast made w white wheat bread",120,6,0.40
"Pancake bacon chilled",150,7,0.60
"Salad nicoise w fish and dressing",200,5,1.00
"Pasta dish carbonara homemade",300,7,0.60
"French fries w sauce and onion",200,8,0.40
"French fries w sauces and onions",220,8,0.45
"French fries w shoarma, cheese and sauce",350,7,0.80
"Noodles instant onbereid",80,7,0.60
"Quiche Lorraine",150,6,1.00
"Kale curly w marhed potatoes, smoked sausage and bacon",350,9,0.50
"Endive raw w mashed potatoes, minced meat ball and bacon",350,8,0.50
"Seeds and kernels av",15,6,1.20
"Fruit spread",15,7,0.60
"Fruit juice drink Dubbeldrank",200,7,0.30
"Margarine product 60% fat <17g sat fa salted",15,7,0.50
"Low fat margarine Blue Band",15,7,0.50
"Gluten free bread dark",70,4,1.00
"Gluten free bread light",70,4,1.00
"Gluten free bread multiseeds",70,4,1.00
"Gluten free bread sourdough",70,3,1.20
"Herbs green fresh av",5,8,2.00
"Margarine product 45% fat <17g sat fa unsalted",15,6,0.50
"Gnocchi cooked",200,5,0.50
"Gnocchi unprepared",100,5,0.60
"Juice drink w sugar and sweetener 7-9 g CHO",200,6,0.25
"Low fat margarine Albert Heijn light",15,7,0.40
"Low fat margarine Albert Heijn Goed Begin",15,6,0.40
"Low fat margarine Jumbo Goed Begin",15,6,0.40
"Low fat margarine Jumbo",15,7,0.40
"Gravy Smeltjus prepared",30,6,0.50
"Drink oat wo sugar fortified w calcium and vitamins",200,6,0.35
"Beans brown canned/glass no salt added",150,6,0.40
"Lentils canned/glass no salt added",150,6,0.40
"Peas chick canned/glass no salt added",150,6,0.40
"Beans kidney red canned/glass no salt added",150,6,0.40
"Pizza w mozzarella Margherita",350,8,0.60
"Pizza quattro formaggi",350,7,0.80
"Pulses average boiled",150,7,0.35
"Infant formula Nestle Little steps 1 p 100ml",100,1,0.50
"Toddler formula Nestle Little steps 2 p 100ml",100,1,0.50
"Toddler formula Nestle Little steps 3 p 100ml",100,1,0.50
"Vegetables mixed carrot-onion raw",150,8,0.30
"Vegetables mixed carrot-onion boiled",200,8,0.30
"Vegetables for stir-frying Mexican raw",150,7,0.50
"Vegetables for stir-frying Mexican boiled",200,7,0.50
"Taco w minced meat and beans",200,7,0.80
"Burrito w minced meat",250,7,0.80
"Lasagna w vegetables ready-to-eat",350,6,0.60
"Onion red raw",30,8,0.30
"Cheeseburger ready-to-eat",150,7,1.00
"Onion red boiled",30,5,0.30
"Corn cakes puffed plain w salt",15,6,1.00
"Drink oat wo sugar",200,6,0.30
"Drink almond unsweetened",200,6,0.35
"Plant-based alternative to Gouda cheese based on coconut oil",30,4,1.50
"Plant-based alternative to Gouda cheese based on coconut oil fortified w Ca and Vit B12",30,4,1.50
"Hummus w vegetables",30,7,1.00
"Breadsticks wholemeal",20,5,1.00
"Peanut sauce concentrate",50,7,0.80
"Soy sauce",15,9,0.80
"Wok sauce teriyaki",50,7,0.80
"Cocktail snacks based on potatoes ",30,7,1.20
"Drink coconut w sugar fortified w calcium and vitamins",200,4,0.40
"Chicken schnitzel breaded w corn flakes raw",125,6,1.50
"Sausage luncheon meat vegetarian",30,6,1.50
"Pate vegetarian based on soya/pea",30,5,1.50
"Wrap/tortilla wheat wholemeal",60,7,0.60
"Pieces/chunks vegetarian based on soya/wheat unprepared",100,7,1.80
"Margarine product Becel Romig 60% fat",15,7,0.80
"Low fat margarine product 20% fat <10g sat salted",15,5,0.50
"Muesli crunchy w fruit fortified w fibre",40,6,0.60
"Asparagus green boiled",150,6,1.50
"Nuts mixed w cranberry unsalted",30,7,1.50
"Muesli crunchy w nuts fortified w fibre",40,6,0.60
"Muesli crunchy w chocolate fortified w fibre",40,6,0.60
"Coconut grated, dried",15,6,1.00
"Seroendeng",15,5,1.50
"Stock concentrated w vegetables or meat pot",20,7,1.00
"Pulses average dried",75,6,0.40
"Protein bar w peanut",40,5,2.50
"Protein bar w chocolate and sweetener",40,5,2.50
"Wok sauce sweet and sour",50,7,0.80
"Cake Dutch spiced Ontbijtkoek fortified w fibre",40,5,0.60
"Cereal bar Sultana Good Morning",30,6,1.20
"Muesli bar fortified w fibre",30,5,1.20
"Biscuit fruit fortified w fibre",20,6,1.00
"Biscuit multigrain several flavours fortified w fibre, vit and min",20,6,1.00
"Vegetable balls/burgers vegetarian based on soya unprepared fortified w iron and vit B12",100,7,1.80
"Cheese w cumin 48+ average",30,7,1.50
"Locust bean gum",5,2,2.00
"Couscous wholemael unprepared",75,6,0.45
"Tofu unprepared",100,6,0.60
"Turnip raw",100,2,0.50
"Turnip boiled",150,2,0.50
"Pork av raw",125,8,1.20
"Fish lean <5 g fat average prepared in microwave oven no ingredients added",125,6,2.00
"Sauce bolognese homemade",150,8,0.50
"Spaghetti bolgonese w cheese homemade",350,8,0.60
"Salad dish w chicken, pasta and dressing",250,7,0.80
"Salad potato",150,6,0.60
"Toasted ham-cheese sandwich w brown/wholemeal bread",120,7,0.80
"Peppers pickled canned/glass",30,5,0.80
"Quark low fat lactose-free",150,4,0.40
"Couscous wholemeal boiled",200,6,0.40
"Biscuit spiced with candy mix",20,5,1.00
"Drink soya  fruit/vanilla w sugar fortified w calcium and vitamins",200,5,0.30
"Drink coconut wo sugar",200,4,0.40
"Jackfruit in water canned",100,3,0.80
"Plant-based alternative to yoghurt based on coconut unsweetened",150,4,0.60
"Tofu pieces/chunks seasoned unprepared",100,6,0.80
"Falafel unprepared",100,7,1.00
"Cheese schnitzel vegetarian unprepared",100,6,1.50
"Meatballs/burgers vegetarian based on soya/wheat unprepared",100,7,1.80
"Fish fingers vegetarian based on rice/wheat unprepared",100,5,1.80
"Meatballs/burgers vegetarian based on soya/wheat unprepared fortified w iron and vit B12",100,7,1.80
"Meatballs/burgers vegetarian based on pea unprepared",100,6,1.80
"Vegetable balls/burgers vegetarian based on soya unprepared",100,6,1.50
"Pieces/chunks vegetarian based on soya/wheat unprepared fortified w iron and vit B12",100,7,1.80
"Nuggets vegetarian based on wheat/pea frozen unprepared",100,6,1.50
"Filet americain vegetarian based on milk fortified w iron",30,5,1.80
"Croquette oven vegetarian frozen unprepared",70,6,1.20
"Dextrose tablets non-fortified",10,5,1.00
"Rempejek peanut biscuit",20,3,1.50
"Croquette Dutch Bitterbal deep-fried in liquid fat",50,8,1.20
"Minced meat vegetarian based on soya unprepared fortified w iron and vit B12",100,7,1.80
"Margarine 80% fat >24 g sat fatty acids salted for NEVO recipes",15,7,0.50
"Sausage roast- vegetarian based on pea unprepared",100,5,1.50
"Sausage roast- vegetarian based on soya/wheat unprepared fortified w iron and vit B12",100,6,1.50
"Schnitzel/burger vegetarian based on milk unprepared",100,5,1.80
"Burger vegetarian filled w vegetables and cheese unprepared",100,6,1.80
"Crispbread light wholemeal",20,7,0.80
"Plant-based alternative to cream based on oat",30,5,0.80
"Drink soya chocolate w sugar fortified w calcium and vitamins",200,5,0.35
"Bacon vegetarian unprepared",30,5,2.00
"Tempeh unprepared",100,5,0.80
"Bakery mix for doughnuts Dutch style",50,5,0.50
"Cheese 35+",30,6,1.40
"Flour spelt",50,5,0.40
"Flour spelt wholemeal",50,5,0.40
"Flour almond",30,4,1.50
"Semolina wheat",50,5,0.30
"Flour oat wholemeal",50,6,0.30
"Flakes spelt",40,4,0.40
"Flakes barley",40,3,0.35
"Flour rice wholemeal",50,4,0.40
"Bakery mix for pancakes gluten free",50,4,0.80
"Flour coconut",30,3,1.00
"Pancake ready-to-eat plain",150,7,0.60
"Dutch Poffertjes ready-to-eat plain",100,7,0.80
"Wrap/tortilla wheat and carrot",60,6,0.80
"Muesli w fruit and nuts",40,8,0.60
"Muesli crunchy plain",40,7,0.50
"Muesli crunchy w fruit",40,7,0.60
"Muesli w fruit seeds and kernels",40,7,0.70
"Pancake gluten free homemade",150,4,0.80
"Dutch Poffertjes homemade",100,7,0.60
"Bakery mix for bread white gluten free",50,4,0.80
"Bakery mix for bread brown/multigrain gluten free",50,4,0.80
"Prawns marinated",100,6,3.00
"Breakfast cereal Special flakes plain",40,6,0.80
"Breakfast cereal 7 cereals breakfast",40,5,0.70
"Mushroom fried wo fat",100,7,0.80
"Beans lupin dried",75,2,0.60
